"Period","City_Province","Retail_Sales","Population","Population_Male","Population_Female","Population_15_29","Population_30_59","Population_60_Plus","Population_below_15","Unemployment_Rate_15_29","Unemployment_Rate_30_59","Unemployment_Rate_60_Plus","Number_of_Households","Household_Size","Retail_Sales_Per_Household"
"2020.06","Gwangju","133014","1455048.0","720060.0","734988.0","294555","666989","295498","198006","9.2","3.4","2.9","626386.0","2.322925480454544","0.21235148933724574"
"2020.06","Gyeonggi-do","1255803","13338020.0","6711047.0","6626973.0","2482627","6427336","2611860","1816197","8.9","3.1","3.3","5566078.0","2.3963049026621617","0.2256172119758293"
"2020.06","Gyeongsangbuk-do","101732","2646493.0","1332780.0","1313713.0","407760","1146949","788730","303054","15.2","3.6","3.3","1241310.0","2.132016176458741","0.0819553536183548"
"2020.06","Gyeongsangnam-do","195001","3349454.0","1686331.0","1663123.0","550060","1535012","827938","436444","11.0","3.7","2.4","1468692.0","2.280569377377966","0.13277188137471982"
"2020.06","Incheon","178298","2947217.0","1476813.0","1470404.0","548107","1413394","616775","368941","8.7","4.1","4.5","1251818.0","2.3543494341829243","0.1424312479929191"
"2020.06","Jeju-do","40550","671316.0","337343.0","333973.0","117813","307868","149429","96206","7.0","2.6","2.8","297669.0","2.2552432399746025","0.13622513597317826"
"2020.06","Jeollabuk-do","78398","1808802.0","899137.0","909665.0","306921","765788","520999","215094","11.0","2.5","0.6","826134.0","2.1894777360573467","0.09489743794590223"
"2020.06","Jeollanam-do","62120","1854618.0","931898.0","922720.0","291639","767538","580725","214716","7.6","2.2","1.4","882615.0","2.101276320932683","0.07038176328297162"
"2020.06","Sejong","33912","345341.0","172234.0","173107.0","53921","170674","50387","70359","13.0","1.7","2.8","138167.0","2.499446322204289","0.24544210991047066"
"2020.06","Seoul","1516805","9720846.0","4732275.0","4988571.0","1895520","4576829","2231902","1016595","10.1","3.8","6.1","4384076.0","2.2173078203936245","0.3459805441329028"
"2020.06","Ulsan","122703","1142190.0","586939.0","555251.0","205302","556000","223866","157022","12.1","3.2","4.7","472983.0","2.414864804866137","0.2594237002175554"
"2020.07","Busan","426920","3402776.0","1667613.0","1735163.0","580524","1515702","939821","366729","10.6","3.2","2.0","1517200.0","2.2427998945425784","0.28138676509359345"
"2020.07","Chungcheongbuk-do","80425","1597936.0","809841.0","788095.0","277147","712902","409826","198061","8.0","1.9","2.8","734112.0","2.1766923848132165","0.10955412798047165"
"2020.07","Chungcheongnam-do","129993","2120692.0","1081752.0","1038940.0","346498","941613","555390","277191","7.9","2.5","1.1","973444.0","2.1785454530512283","0.13353926882285988"
"2020.07","Daegu","302869","2428022.0","1198621.0","1229401.0","446327","1114859","577785","289051","7.9","3.0","1.9","1048735.0","2.3151911588723557","0.2887945953934979"
"2020.07","Daejeon","145863","1470225.0","734008.0","736217.0","292167","679872","310456","187730","8.8","3.3","1.6","646211.0","2.2751469721190136","0.22572039163678737"
"2020.07","Gangwon-do","82539","1540094.0","774913.0","765181.0","254063","662354","451763","171914","8.7","2.3","1.8","728771.0","2.113275638026211","0.11325779977523803"
"2020.07","Gwangju","110517","1454709.0","719860.0","734849.0","294170","666242","296827","197470","8.2","2.4","3.3","627676.0","2.3176113153920177","0.1760733244540177"
"2020.07","Gyeonggi-do","1245416","13351891.0","6717812.0","6634079.0","2482064","6429439","2625288","1815100","8.6","2.9","2.8","5584110.0","2.3910508568061877","0.22302855781852435"
"2020.07","Gyeongsangbuk-do","101685","2644001.0","1331461.0","1312540.0","406006","1144902","790765","302328","10.3","2.8","2.3","1242701.0","2.1276244245397726","0.08182579719498093"
"2020.07","Gyeongsangnam-do","193334","3347637.0","1685427.0","1662210.0","548374","1532720","831044","435499","10.4","3.3","1.5","1470937.0","2.275853418603244","0.13143594865041808"
"2020.07","Incheon","187271","2945565.0","1475837.0","1469728.0","546466","1411365","619538","368196","9.1","3.1","3.1","1253957.0","2.349015955092559","0.14934403651799863"
"2020.07","Jeju-do","42666","671913.0","337587.0","334326.0","117715","307929","150065","96204","6.3","1.5","1.3","298347.0","2.2521191766634154","0.1430079739363895"
"2020.07","Jeollabuk-do","79955","1808044.0","898719.0","909325.0","306265","764690","522514","214575","8.5","1.5","0.3","827895.0","2.183904963793718","0.0965762566509038"
